,manga_name,manga_link,volumes,chapters,status,genres,authors,serialization,members,favorite,score,rank,popularity,published 
0,Berserk,https://myanimelist.net/manga/2/Berserk,Unknown,Unknown,Publishing,"Action, Adventure, Demons, Drama, Fantasy, Horror, Supernatural, Military, Psychological, Seinen","Miura, Kentarou (Story & Art)",Young Animal,"241,511","51,860",9.311,12,4,"Aug  25, 1989 to ?"
1,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,24,96,Finished,"Action, Adventure, Mystery, Historical, Horror, Shounen, Supernatural","Araki, Hirohiko (Story & Art)",Ultra Jump,"62,146","11,695",9.181,22,81,"Jan  19, 2004 to Apr  19, 2011"
2,Fullmetal Alchemist,https://myanimelist.net/manga/25/Fullmetal_Alchemist,27,116,Finished,"Action, Adventure, Comedy, Drama, Shounen, Military","Arakawa, Hiromu (Story & Art)",Shounen Gangan,"174,721","24,532",9.131,32,11,"Jul  12, 2001 to Sep  11, 2010"
3,One Piece,https://myanimelist.net/manga/13/One_Piece,Unknown,Unknown,Publishing,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power","Oda, Eiichiro (Story & Art)",Shounen Jump (Weekly),"255,244","61,615",9.081,42,3,"Jul  22, 1997 to ?"
4,Monster,https://myanimelist.net/manga/1/Monster,18,162,Finished,"Mystery, Drama, Psychological, Seinen","Urasawa, Naoki (Story & Art)",Big Comic Original,"83,821","8,436",9.041,52,48,"Dec  5, 1994 to Dec  20, 2001"
5,Oyasumi Punpun,https://myanimelist.net/manga/4632/Oyasumi_Punpun,13,147,Finished,"Drama, Slice of Life, Psychological, Seinen","Asano, Inio (Story & Art)",Big Comic Spirits,"148,503","20,559",9.021,62,14,"Mar  15, 2007 to Nov  2, 2013"
6,Vagabond,https://myanimelist.net/manga/656/Vagabond,37,327,Publishing,"Action, Adventure, Drama, Historical, Samurai, Seinen","Inoue, Takehiko (Story & Art), Yoshikawa, Eiji (Story)",Morning,"105,325","11,359",9.001,72,25,"Mar  23, 1999 to May  21, 2015"
7,Kingdom,https://myanimelist.net/manga/16765/Kingdom,Unknown,Unknown,Publishing,"Action, Drama, Historical, Military, Seinen","Hara, Yasuhisa (Story & Art)",Young Jump,"53,569","6,041",9.001,82,112,"Jan  26, 2006 to ?"
8,Grand Blue,https://myanimelist.net/manga/70345/Grand_Blue,Unknown,Unknown,Publishing,"Comedy, Slice of Life, Seinen","Inoue, Kenji (Story), Yoshioka, Kimitake (Art)",good! Afternoon,"57,436","5,547",8.991,92,92,"Apr  7, 2014 to ?"
9,Slam Dunk,https://myanimelist.net/manga/51/Slam_Dunk,31,276,Finished,"Comedy, Drama, School, Shounen, Sports","Inoue, Takehiko (Story & Art)",Shounen Jump (Weekly),"55,543","6,511",8.981,102,103,"Sep  18, 1990 to Jun  4, 1996"
10,20th Century Boys,https://myanimelist.net/manga/3/20th_Century_Boys,22,249,Finished,"Mystery, Drama, Historical, Sci-Fi, Psychological, Seinen","Urasawa, Naoki (Story & Art)",Big Comic Spirits,"87,904","9,366",8.951,112,42,"Sep  27, 1999 to Apr  24, 2006"
11,Made in Abyss,https://myanimelist.net/manga/91941/Made_in_Abyss,Unknown,Unknown,Publishing,"Adventure, Drama, Fantasy, Sci-Fi","Tsukushi, Akihito (Story & Art)",Web Comic Gamma,"55,952","4,707",8.941,122,101,"Oct  20, 2012 to ?"
12,Monogatari Series: First Season,https://myanimelist.net/manga/14893/Monogatari_Series__First_Season,6,107,Finished,"Action, Comedy, Mystery, Romance, Vampire, Supernatural","Nisio, Isin (Story), VOFAN (Art)",Mephisto,"28,133","1,628",8.931,132,265,"Nov  1, 2006 to Jul  28, 2010"
13,Kaze no Tani no Nausicaä,https://myanimelist.net/manga/651/Kaze_no_Tani_no_Nausicaä,7,59,Finished,"Action, Adventure, Fantasy, Supernatural","Miyazaki, Hayao (Story & Art)",Animage,"30,979","2,454",8.901,142,234,"Oct  9, 1982 to Feb  10, 1994"
14,Ookami to Koushinryou,https://myanimelist.net/manga/9115/Ookami_to_Koushinryou,Unknown,Unknown,Publishing,"Adventure, Drama, Fantasy, Historical, Romance, Supernatural","Hasekura, Isuna (Story), Ayakura, Juu (Art)",    None,"37,760","3,398",8.901,152,171,"Feb  10, 2006 to ?"
15,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,https://myanimelist.net/manga/40171/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,Unknown,Unknown,Publishing,"Comedy, Romance, School","Watari, Wataru (Story), Ponkan⑧ (Art)",    None,"35,134","2,447",8.901,162,195,"Mar  23, 2011 to ?"
16,Utsuro no Hako to Zero no Maria,https://myanimelist.net/manga/55215/Utsuro_no_Hako_to_Zero_no_Maria,7,40,Finished,"Action, Mystery, Drama, Horror, Romance, School, Supernatural, Psychological, Thriller","Mikage, Eiji (Story), Tetsuo (Art)",    None,"69,529","4,401",8.891,172,61,"Jan  10, 2009 to Jun  10, 2015"
17,Yotsuba to!,https://myanimelist.net/manga/104/Yotsuba_to,Unknown,Unknown,Publishing,"Comedy, Slice of Life","Azuma, Kiyohiko (Story & Art)",Dengeki Daioh,"85,511","11,366",8.881,182,45,"Mar  21, 2003 to ?"
18,GTO,https://myanimelist.net/manga/336/GTO,25,208,Finished,"Action, Comedy, Drama, Ecchi, School, Shounen","Fujisawa, Tohru (Story & Art)",Shounen Magazine (Weekly),"73,997","7,085",8.881,192,58,"Dec  11, 1996 to Jan  30, 2002"
19,Akatsuki no Yona,https://myanimelist.net/manga/21525/Akatsuki_no_Yona,Unknown,Unknown,Publishing,"Action, Comedy, Fantasy, Romance, Shoujo","Kusanagi, Mizuho (Story & Art)",Hana to Yume,"62,662","7,841",8.871,202,79,"Aug  5, 2009 to ?"
20,Monogatari Series: Second Season,https://myanimelist.net/manga/23751/Monogatari_Series__Second_Season,6,199,Finished,"Comedy, Mystery, Drama, Vampire, Supernatural","Nisio, Isin (Story), VOFAN (Art)",    None,"9,657",269,8.861,212,969,"Oct  27, 2010 to Dec  20, 2011"
21,Ashita no Joe,https://myanimelist.net/manga/1303/Ashita_no_Joe,20,171,Finished,"Drama, Shounen, Sports, Slice of Life","Kajiwara, Ikki (Story), Chiba, Tetsuya (Art)",Shounen Magazine (Weekly),"17,323","1,681",8.851,232,470,"Jan  1, 1968 to May  13, 1973"
22,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,Unknown,Unknown,Publishing,"Comedy, Romance, School, Seinen","Akasaka, Aka (Story & Art)",Young Jump,"63,443","5,808",8.861,222,73,"May  19, 2015 to ?"
23,Koe no Katachi,https://myanimelist.net/manga/56805/Koe_no_Katachi,7,64,Finished,"Drama, School, Shounen","Ooima, Yoshitoki (Story & Art)",Shounen Magazine (Weekly),"156,879","16,064",8.851,242,12,"Aug  7, 2013 to Nov  19, 2014"
24,Uchuu Kyoudai,https://myanimelist.net/manga/14483/Uchuu_Kyoudai,Unknown,Unknown,Publishing,"Drama, Sci-Fi, Space, Seinen","Koyama, Chuuya (Story & Art)",Morning,"15,191",903,8.831,252,554,"Dec  6, 2007 to ?"
25,Monogatari Series: Final Season,https://myanimelist.net/manga/44227/Monogatari_Series__Final_Season,6,231,Finished,"Comedy, Mystery, Vampire, Supernatural","Nisio, Isin (Story), VOFAN (Art)",    None,"7,853",199,8.821,262,1238,"Sep  28, 2012 to Sep  18, 2014"
26,One Punch-Man,https://myanimelist.net/manga/44347/One_Punch-Man,Unknown,Unknown,Publishing,"Action, Comedy, Parody, Sci-Fi, Super Power, Supernatural","Murata, Yusuke (Art), ONE (Story)",Tonari no Young Jump,"206,194","20,314",8.811,272,8,"Jun  14, 2012 to ?"
27,Mushishi,https://myanimelist.net/manga/418/Mushishi,10,50,Finished,"Mystery, Fantasy, Historical, Supernatural, Seinen","Urushibara, Yuki (Story & Art)",Afternoon,"38,837","2,024",8.801,282,169,"Nov 1999 to Aug  25, 2008"
28,Vinland Saga,https://myanimelist.net/manga/642/Vinland_Saga,Unknown,Unknown,Publishing,"Action, Adventure, Drama, Historical, Seinen","Yukimura, Makoto (Story & Art)",Afternoon,"80,719","7,489",8.791,292,52,"Apr  13, 2005 to ?"
29,Houseki no Kuni,https://myanimelist.net/manga/44489/Houseki_no_Kuni,Unknown,Unknown,Publishing,"Action, Fantasy, Seinen","Ichikawa, Haruko (Story & Art)",Afternoon,"29,761","2,961",8.781,302,246,"Oct  25, 2012 to ?"
30,3-gatsu no Lion,https://myanimelist.net/manga/1224/3-gatsu_no_Lion,Unknown,Unknown,Publishing,"Drama, Game, Slice of Life, Seinen","Umino, Chika (Story & Art)",Young Animal,"23,972","1,572",8.771,312,333,"Jul  13, 2007 to ?"
31,Natsume Yuujinchou,https://myanimelist.net/manga/1859/Natsume_Yuujinchou,Unknown,Unknown,Publishing,"Drama, Shoujo, Supernatural","Midorikawa, Yuki (Story & Art)",LaLa DX,"26,366","1,697",8.761,322,290,"Jun  10, 2003 to ?"
32,Haikyuu!!,https://myanimelist.net/manga/35243/Haikyuu,Unknown,Unknown,Publishing,"Comedy, Drama, School, Shounen, Sports","Furudate, Haruichi (Story & Art)",Shounen Jump (Weekly),"66,333","5,732",8.761,332,65,"Feb  20, 2012 to ?"
33,Overlord,https://myanimelist.net/manga/81669/Overlord,Unknown,Unknown,Publishing,"Action, Fantasy, Game, Magic, Supernatural","Maruyama, Kugane (Story), so-bin (Art)",    None,"28,463","2,017",8.761,342,258,"Jul  30, 2012 to ?"
34,Spy x Family,https://myanimelist.net/manga/119161/Spy_x_Family,Unknown,Unknown,Publishing,"Action, Comedy, Shounen","Endou, Tatsuya (Story & Art)",Shounen Jump+,"8,558",361,8.761,352,1111,"Mar  25, 2019 to ?"
35,Death Note,https://myanimelist.net/manga/21/Death_Note,12,108,Finished,"Mystery, Drama, Shounen, Supernatural, Psychological","Obata, Takeshi (Art), Ohba, Tsugumi (Story)",Shounen Jump (Weekly),"218,353","25,983",8.751,362,7,"Dec  1, 2003 to May  15, 2006"
36,Re:Zero kara Hajimeru Isekai Seikatsu,https://myanimelist.net/manga/74697/Re_Zero_kara_Hajimeru_Isekai_Seikatsu,Unknown,Unknown,Publishing,"Action, Drama, Fantasy","Nagatsuki, Tappei (Story), Ootsuka, Shinichirou (Art)",    None,"28,011","2,153",8.751,392,266,"Jan  23, 2014 to ?"
37,Yakusoku no Neverland,https://myanimelist.net/manga/100128/Yakusoku_no_Neverland,Unknown,Unknown,Publishing,"Mystery, Horror, Sci-Fi, Shounen","Demizu, Posuka (Art), Shirai, Kaiu (Story)",Shounen Jump (Weekly),"97,603","10,506",8.751,372,33,"Aug  1, 2016 to ?"
38,Akira,https://myanimelist.net/manga/664/Akira,6,120,Finished,"Action, Sci-Fi, Seinen","Otomo, Katsuhiro (Story & Art)",Young Magazine (Weekly),"56,610","4,075",8.741,382,95,"Dec  6, 1982 to Jun  11, 1990"
39,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,https://myanimelist.net/manga/81211/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,5,25,Finished,"Drama, Fantasy, Romance, Sci-Fi","Kareno, Akira (Story), ue (Art)",    None,"12,040",518,8.741,402,745,"Nov  1, 2014 to Apr  1, 2016"
40,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki_Ichimanen_de,3,18,Finished,"Drama, Shounen","Taguchi, Shouichi (Art), Miaki, Sugaru (Story)",Shounen Jump+,"24,736","1,806",8.731,442,312,"Aug  10, 2016 to Oct  25, 2017"
41,Real,https://myanimelist.net/manga/657/Real,Unknown,Unknown,Publishing,"Drama, Sports, Psychological, Seinen","Inoue, Takehiko (Story & Art)",Young Jump,"24,798","1,131",8.731,412,310,1999 to ?
42,Kozure Ookami,https://myanimelist.net/manga/904/Kozure_Ookami,28,142,Finished,"Action, Historical, Samurai, Seinen","Koike, Kazuo (Story), Kojima, Goseki (Art)",Manga Action,"22,202","1,017",8.731,422,361,Sep 1970 to Apr 1976
43,Watashitachi no Shiawase na Jikan,https://myanimelist.net/manga/11734/Watashitachi_no_Shiawase_na_Jikan,1,8,Finished,"Drama, Music, Romance, Slice of Life, Psychological, Seinen","Yumeka, Sumomo (Art)",Comic Bunch,"74,479","4,275",8.731,432,57,"Mar  28, 2008 to Aug  22, 2008"
44,Zaregoto Series,https://myanimelist.net/manga/9726/Zaregoto_Series,9,71,Finished,"Action, Mystery, Drama, Supernatural","Nisio, Isin (Story), Take (Art)",    None,"10,510",523,8.721,452,882,"Feb  5, 2002 to Nov  7, 2005"
45,Nana,https://myanimelist.net/manga/28/Nana,21,84,Publishing,"Drama, Music, Romance, Shoujo, Slice of Life","Yazawa, Ai (Story & Art)",Cookie,"56,165","6,683",8.711,462,99,"May  26, 2000 to May  26, 2009"
46,Ginga Eiyuu Densetsu,https://myanimelist.net/manga/6978/Ginga_Eiyuu_Densetsu,10,94,Finished,"Action, Adventure, Drama, Sci-Fi, Space, Military","Tanaka, Yoshiki (Story), Kato, Naoyuki (Art), Kamoshita, Yukihisa (Art)",    None,"3,656",141,8.711,472,2793,Nov 1982 to Nov 1987
47,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,https://myanimelist.net/manga/34053/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_8__Twilight_of_the_Golden_Witch,9,42,Finished,"Mystery, Drama, Fantasy, Magic, Shounen, Supernatural","Natsumi, Kei (Art), Ryukishi07 (Story)",Gangan Joker,"5,601",298,8.711,482,1811,"Jan  21, 2012 to Jun  22, 2015"
48,Song of the Long March,https://myanimelist.net/manga/42001/Song_of_the_Long_March,Unknown,Unknown,Publishing,"Action, Adventure, Drama, Historical","Xia, Da (Story & Art)",Comic Fans,"15,027",649,8.711,492,565,Feb 2011 to ?
49,Kono Subarashii Sekai ni Shukufuku wo!,https://myanimelist.net/manga/60553/Kono_Subarashii_Sekai_ni_Shukufuku_wo,Unknown,Unknown,Publishing,"Adventure, Comedy, Fantasy, Supernatural","Mishima, Kurone (Art), Akatsuki, Natsume (Story)",    None,"20,842","1,155",8.711,502,379,"Oct  1, 2013 to ?"
50,Beck,https://myanimelist.net/manga/145/Beck,34,103,Finished,"Comedy, Drama, Music, Romance, Shounen, Slice of Life","Sakuishi, Harold (Story & Art)",Shounen Magazine (Monthly),"34,243","2,769",8.701,512,202,"Feb  17, 2000 to Jun  5, 2008"
51,Shinyaku Toaru Majutsu no Index,https://myanimelist.net/manga/24875/Shinyaku_Toaru_Majutsu_no_Index,Unknown,Unknown,Publishing,"Action, Comedy, Fantasy, Magic, Sci-Fi, Super Power, Supernatural","Kamachi, Kazuma (Story), Haimura, Kiyotaka (Art)",    None,"7,967",598,8.701,522,1217,"Mar  10, 2011 to ?"
52,Koten-bu Series,https://myanimelist.net/manga/35513/Koten-bu_Series,Unknown,Unknown,Publishing,"Adventure, Mystery, School","Yonezawa, Honobu (Story)",    None,"7,711",263,8.701,532,1264,"Oct  31, 2001 to ?"
53,Shigatsu wa Kimi no Uso,https://myanimelist.net/manga/37707/Shigatsu_wa_Kimi_no_Uso,11,44,Finished,"Drama, Music, Romance, School, Shounen","Arakawa, Naoshi (Story & Art)",Shounen Magazine (Monthly),"43,616","2,082",8.701,542,146,"Apr  6, 2011 to Feb  6, 2015"
54,Kakukaku Shikajika,https://myanimelist.net/manga/44307/Kakukaku_Shikajika,5,34,Finished,"Slice of Life, Josei","Higashimura, Akiko (Story & Art)",Cocohana,"13,107",724,8.701,552,670,"Nov  28, 2011 to Jan  28, 2015"
55,Umineko no Naku Koro ni Chiru,https://myanimelist.net/manga/79993/Umineko_no_Naku_Koro_ni_Chiru,7,Unknown,Finished,"Mystery, Fantasy, Horror, Supernatural, Psychological, Thriller","Ryukishi07 (Story), Tomohi (Art)",    None,"1,771",109,8.701,562,5516,"Jul  13, 2012 to Sep  30, 2018"
56,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,https://myanimelist.net/manga/89357/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,Unknown,Unknown,Publishing,"Comedy, Romance, School","Tomose, Shunsaku (Art), Kinugasa, Shougo (Story)",    None,"11,756",494,8.701,572,772,"May  25, 2015 to ?"
57,86,https://myanimelist.net/manga/104039/86,Unknown,Unknown,Publishing,"Drama, Sci-Fi","Shirabi (Art), Asato, Asato (Story)",    None,"3,456",103,8.701,582,2941,"Feb  10, 2017 to ?"
58,Bastard,https://myanimelist.net/manga/111213/Bastard,5,94,Finished,"Mystery, Drama, Horror, Romance, Psychological","Kim, Carnby (Story), Hwang, Young-chan (Art)",Naver Webtoon,"24,716","1,659",8.701,592,313,"Jul  4, 2014 to May  6, 2016"
59,Hunter x Hunter,https://myanimelist.net/manga/26/Hunter_x_Hunter,Unknown,Unknown,Publishing,"Action, Adventure, Fantasy, Shounen, Super Power","Togashi, Yoshihiro (Story & Art)",Shounen Jump (Weekly),"122,546","14,140",8.691,602,19,"Mar  3, 1998 to ?"
60,ReLIFE,https://myanimelist.net/manga/78523/ReLIFE,Unknown,237,Finished,"Comedy, Drama, Romance, School, Slice of Life","Yayoi, Sou (Story & Art)",comico,"84,227","7,878",8.691,612,47,"Oct  12, 2013 to Mar  16, 2018"
61,Aria,https://myanimelist.net/manga/81/Aria,12,67,Finished,"Adventure, Comedy, Drama, Sci-Fi, Shounen, Slice of Life","Amano, Kozue (Story & Art)",Comic Blade,"20,187","2,013",8.681,622,390,"Feb  28, 2002 to Feb  29, 2008"
62,Hajime no Ippo,https://myanimelist.net/manga/7/Hajime_no_Ippo,Unknown,Unknown,Publishing,"Action, Comedy, Drama, Shounen, Sports","Morikawa, George (Story & Art)",Shounen Magazine (Weekly),"41,018","4,108",8.671,632,158,"Sep  27, 1989 to ?"
63,Rurouni Kenshin: Meiji Kenkaku Romantan,https://myanimelist.net/manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan,28,259,Finished,"Action, Drama, Historical, Samurai, Shounen","Watsuki, Nobuhiro (Story & Art)",Shounen Jump (Weekly),"62,759","6,605",8.671,642,78,"Apr  12, 1994 to Sep  21, 1999"
64,Kino no Tabi: The Beautiful World,https://myanimelist.net/manga/399/Kino_no_Tabi__The_Beautiful_World,Unknown,Unknown,Publishing,"Adventure, Mystery, Drama, Fantasy, Sci-Fi, Psychological","Sigsawa, Keiichi (Story), Kuroboshi, Kouhaku (Art)",    None,"9,782",355,8.671,652,951,"Mar  10, 2000 to ?"
65,Skip Beat!,https://myanimelist.net/manga/610/Skip_Beat,Unknown,Unknown,Publishing,"Comedy, Drama, Romance, Shoujo","Nakamura, Yoshiki (Story & Art)",Hana to Yume,"67,577","9,160",8.671,662,64,"Feb  15, 2002 to ?"
66,Monogatari Series: Monster Season,https://myanimelist.net/manga/108177/Monogatari_Series__Monster_Season,Unknown,Unknown,Publishing,"Comedy, Mystery, Vampire, Supernatural","Nisio, Isin (Story), VOFAN (Art)",    None,"2,238",22,8.671,672,4449,"Jul  20, 2017 to ?"
67,Yokohama Kaidashi Kikou,https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou,14,142,Finished,"Drama, Sci-Fi, Slice of Life, Seinen","Ashinano, Hitoshi (Story & Art)",Afternoon,"33,979","3,002",8.661,682,204,"Apr  25, 1994 to Feb  25, 2006"
68,Baccano!,https://myanimelist.net/manga/1342/Baccano,Unknown,Unknown,Publishing,"Action, Mystery, Fantasy","Narita, Ryohgo (Story), Enami, Katsumi (Art)",    None,"11,196",396,8.661,692,825,"Feb  10, 2003 to ?"
69,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://myanimelist.net/manga/3006/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,18,174,Finished,"Action, Shounen, Supernatural","Araki, Hirohiko (Story & Art)",Shounen Jump (Weekly),"47,175","5,129",8.661,702,133,"Apr  21, 1992 to Nov  21, 1995"
70,No Game No Life,https://myanimelist.net/manga/48399/No_Game_No_Life,Unknown,Unknown,Publishing,"Comedy, Ecchi, Fantasy, Game, Supernatural","Kamiya, Yuu (Story & Art)",    None,"34,788","1,792",8.661,712,196,"Apr  25, 2012 to ?"
71,Violet Evergarden,https://myanimelist.net/manga/98930/Violet_Evergarden,2,13,Finished,"Drama, Fantasy","Akatsuki, Kana (Story), Takase, Akiko (Art)",    None,"9,810",337,8.661,722,949,"Dec  25, 2015 to Dec  26, 2016"
72,Kidou Senshi Gundam: The Origin,https://myanimelist.net/manga/214/Kidou_Senshi_Gundam__The_Origin,24,112,Finished,"Action, Drama, Mecha, Sci-Fi, Shounen, Space, Military","Yasuhiko, Yoshikazu (Story & Art), Tomino, Yoshiyuki (Story)",Gundam Ace,"6,397",467,8.651,732,1532,"Jun  25, 2001 to Jun  26, 2014"
73,Pandora Hearts,https://myanimelist.net/manga/3031/Pandora_Hearts,24,107,Finished,"Adventure, Mystery, Fantasy, Shounen, Supernatural","Mochizuki, Jun (Story & Art)",GFantasy,"102,583","13,417",8.641,742,31,"May  18, 2006 to Mar  18, 2015"
74,Fate/Zero,https://myanimelist.net/manga/3649/Fate_Zero,4,18,Finished,"Action, Fantasy, Supernatural","Takeuchi, Takashi (Art), Urobuchi, Gen (Story)",    None,"17,066",779,8.641,752,480,"Dec  29, 2006 to Dec  29, 2007"
75,One Outs,https://myanimelist.net/manga/11327/One_Outs,20,175,Finished,"Sports, Psychological, Seinen","Kaitani, Shinobu (Story & Art)",Business Jump,"15,820",815,8.641,762,531,"Nov  14, 1998 to Aug  15, 2006"
76,Sakamichi no Apollon,https://myanimelist.net/manga/28393/Sakamichi_no_Apollon,9,45,Finished,"Drama, Music, Romance, School, Slice of Life, Josei","Kodama, Yuki (Story & Art)",Flowers (Monthly),"17,349",756,8.641,772,467,"Sep  28, 2007 to Jan  28, 2012"
77,Chikan Otoko,https://myanimelist.net/manga/46282/Chikan_Otoko,Unknown,21,Finished,"Comedy, Drama, Romance, Slice of Life","Yokota, Takuma (Story & Art)",    None,"31,662","2,422",8.641,782,227,2004
78,Umineko no Naku Koro ni,https://myanimelist.net/manga/66517/Umineko_no_Naku_Koro_ni,8,Unknown,Finished,"Mystery, Fantasy, Horror, Supernatural, Psychological, Thriller","Ryukishi07 (Story), Tomohi (Art)",    None,"3,001",335,8.641,792,3379,"Jul  1, 2009 to Aug  3, 2010"
79,Juuni Kokuki,https://myanimelist.net/manga/3807/Juuni_Kokuki,Unknown,Unknown,Publishing,Fantasy,"Ono, Fuyumi (Story), Yamada, Akihiro (Art)",    None,"5,107",162,8.631,802,1997,"Jun  20, 1992 to ?"
80,Steins;Gate,https://myanimelist.net/manga/39859/Steins_Gate,5,17,Finished,"Sci-Fi, Thriller","Sakai, Kyuuta (Art), Miwa, Kiyomune (Story)",    None,"4,454",95,8.631,812,2300,"Jun  30, 2011 to May  31, 2012"
81,Kono Oto Tomare!,https://myanimelist.net/manga/45143/Kono_Oto_Tomare,Unknown,Unknown,Publishing,"Drama, School, Shounen","Sakura, Amyuu (Story & Art)",Jump SQ.,"12,323",622,8.631,822,723,"Aug  4, 2012 to ?"
82,Shimanami Tasogare,https://myanimelist.net/manga/97244/Shimanami_Tasogare,4,23,Finished,"Drama, Slice of Life, Psychological, Seinen","Kamatani, Yuhki (Story & Art)",HiBaNa,"16,513","1,158",8.631,832,496,"Mar  6, 2015 to May  23, 2018"
83,Suzumiya Haruhi Series,https://myanimelist.net/manga/3083/Suzumiya_Haruhi_Series,Unknown,Unknown,Publishing,"Comedy, Drama, School, Sci-Fi, Supernatural","Tanigawa, Nagaru (Story), Itou, Noizi (Art)",The Sneaker,"25,451","1,579",8.621,842,303,"Jun  6, 2003 to ?"
84,Mushoku Tensei: Isekai Ittara Honki Dasu,https://myanimelist.net/manga/70261/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,Unknown,Unknown,Publishing,Fantasy,"Rifujin na Magonote (Story), Sirotaka (Art)",    None,"20,546","1,351",8.621,852,383,"Jan  23, 2014 to ?"
85,Gekkan Shoujo Nozaki-kun,https://myanimelist.net/manga/29211/Gekkan_Shoujo_Nozaki-kun,Unknown,Unknown,Publishing,"Comedy, Romance, School","Tsubaki, Izumi (Story & Art)",Gangan Online,"46,429","2,992",8.611,862,135,"Aug  25, 2011 to ?"
86,Mob Psycho 100,https://myanimelist.net/manga/60783/Mob_Psycho_100,16,109,Finished,"Action, Comedy, Supernatural",ONE (Story & Art),MangaONE,"45,037","2,998",8.611,872,138,"Apr  18, 2012 to Dec  22, 2017"
87,Banana Fish,https://myanimelist.net/manga/756/Banana_Fish,19,110,Finished,"Action, Adventure, Drama, Shoujo","Yoshida, Akimi (Story & Art)",Betsucomi,"12,442",867,8.601,882,715,"Apr  13, 1985 to Mar  12, 1994"
88,Hi no Tori (1967),https://myanimelist.net/manga/1325/Hi_no_Tori_1967,16,19,Finished,"Drama, Fantasy, Historical, Romance, Sci-Fi, Shounen, Space, Supernatural, Psychological","Tezuka, Osamu (Story & Art)",Manga Shounen,"9,964",429,8.601,892,932,Jan 1967 to Feb 1988
89,Tokyo Ghoul,https://myanimelist.net/manga/33327/Tokyo_Ghoul,14,144,Finished,"Action, Mystery, Drama, Horror, Supernatural, Psychological, Seinen","Ishida, Sui (Story & Art)",Young Jump,"237,278","26,676",8.601,902,5,"Sep  8, 2011 to Sep  18, 2014"
90,Diamond no Ace Act II,https://myanimelist.net/manga/92559/Diamond_no_Ace_Act_II,Unknown,Unknown,Publishing,"School, Shounen, Sports","Terajima, Yuuji (Story & Art)",Shounen Magazine (Weekly),"6,517",515,8.601,912,1510,"Aug  19, 2015 to ?"
91,Otoyomegatari,https://myanimelist.net/manga/11514/Otoyomegatari,Unknown,Unknown,Publishing,"Drama, Historical, Romance, Seinen","Mori, Kaoru (Story & Art)",Harta,"35,606","1,694",8.591,922,192,"Oct  14, 2008 to ?"
92,No.6,https://myanimelist.net/manga/26728/No6,9,43,Finished,"Action, Mystery, Sci-Fi","Asano, Atsuko (Story)",    None,"13,782",941,8.591,932,622,"Oct  10, 2003 to Jun  14, 2011"
93,Spirit Circle,https://myanimelist.net/manga/38071/Spirit_Circle,6,45,Finished,"Action, Adventure, Comedy, Drama, Romance, Supernatural, Seinen","Mizukami, Satoshi (Story & Art)",Young King OURs,"21,379","1,275",8.591,942,374,"May  30, 2012 to Mar  30, 2016"
94,Akatsuki no Yona,https://myanimelist.net/manga/87953/Akatsuki_no_Yona,Unknown,Unknown,Publishing,"Adventure, Historical, Romance, Shoujo","Kusanagi, Mizuho (Art), Fujitani, Touko (Story)",    None,"6,297",243,8.591,952,1565,"Mar  20, 2015 to ?"
95,Ouran Koukou Host Club,https://myanimelist.net/manga/30/Ouran_Koukou_Host_Club,18,87,Finished,"Comedy, Drama, Romance, School, Shoujo, Harem, Gender Bender","Hatori, Bisco (Story & Art)",LaLa,"86,292","7,553",8.581,962,44,"Jul  24, 2002 to Sep  24, 2010"
96,Pluto,https://myanimelist.net/manga/745/Pluto,8,65,Finished,"Action, Mystery, Mecha, Sci-Fi, Psychological, Seinen","Urasawa, Naoki (Story & Art), Tezuka, Osamu (Story)",Big Comic Original,"45,361","2,676",8.581,972,137,"Sep  9, 2003 to Apr  1, 2009"
