,manga_name,manga_link,volumes,chapters,status,genres,authors,serialization,members,favorite,score,rank,popularity,published 
2316,Doujin Work,https://myanimelist.net/manga/973/Doujin_Work,6,76,Finished,"Comedy, Slice of Life",Hiroyuki (Story & Art),Manga Time Kirara,"3,615",49,7.381,50182,2821,"Oct  28, 2004 to Sep  9, 2008"
2317,Cinderalla-chan,https://myanimelist.net/manga/1356/Cinderalla-chan,1,Unknown,Finished,"Fantasy, Horror, Romance","Mizuno, Junko (Story & Art)",    None,433,7,7.391,48942,14459,2000
2318,Ningyo Himeden,https://myanimelist.net/manga/1358/Ningyo_Himeden,1,Unknown,Finished,"Adventure, Drama, Fantasy, Magic, Romance","Mizuno, Junko (Story & Art)",    None,356,3,7.391,48952,15911,"Dec  1, 2001"
2319,Hoosamguk High,https://myanimelist.net/manga/1644/Hoosamguk_High,10,Unknown,Finished,"Romance, Shoujo","Hwang, Mi Ri (Story & Art)",    None,540,2,7.381,50192,12837,Not available
2320,Wa!,https://myanimelist.net/manga/1838/Wa,5,Unknown,Finished,"Comedy, Romance, School, Shoujo","Yoo, Ha Jin (Story & Art)",    None,471,4,7.381,50202,13839,2002 to 2003
2321,Mariappoi no!,https://myanimelist.net/manga/2583/Mariappoi_no,2,Unknown,Finished,"Romance, Shoujo, Supernatural","Ando, Natsumi (Story & Art)",Nakayoshi,374,1,7.381,50212,15519,2000 to ?
2322,Cynical Orange,https://myanimelist.net/manga/2948/Cynical_Orange,9,24,Finished,"Drama, Romance, Shoujo","Yoon, Ji Woon (Story & Art)",Sugar,"1,458",10,7.381,50222,6542,2002 to 2006
2323,Eikoku Kizoku Goyoutashi,https://myanimelist.net/manga/3654/Eikoku_Kizoku_Goyoutashi,1,4,Finished,"Romance, Shoujo","Sakurakouji, Kanoko (Story & Art)",Betsucomi,"1,484",0,7.381,50242,6444,"Sep  26, 2006"
2324,Deep Love Virus,https://myanimelist.net/manga/3821/Deep_Love_Virus,1,6,Finished,"Drama, Martial Arts, Romance, School, Shoujo","Nagi, Michiko (Story & Art)",    None,"4,099",15,7.381,50252,2493,2006 to ?
2325,Komorebi no Moto de...,https://myanimelist.net/manga/4007/Komorebi_no_Moto_de,3,25,Finished,"Sci-Fi, Shounen","Hojo, Tsukasa (Story & Art)",Shounen Jump (Weekly),647,5,7.381,50262,11527,"Jul  6, 1993 to Jan  4, 1994"
2326,Hanami: International Love Story,https://myanimelist.net/manga/4082/Hanami__International_Love_Story,4,42,Finished,"Comedy, Romance, School","Park, Sung Jae (Story & Art)",    None,144,3,7.381,50272,23114,"May  9, 2007 to Mar  5, 2008"
2327,Hotaru no Hikari,https://myanimelist.net/manga/4270/Hotaru_no_Hikari,15,90,Finished,"Comedy, Romance, Josei","Hiura, Satoru (Story & Art)",Kiss,"3,605",25,7.391,49042,2827,"Aug  10, 2004 to Aug  10, 2009"
2328,S no Yuiitsu! M no Zettai,https://myanimelist.net/manga/5076/S_no_Yuiitsu_M_no_Zettai,1,6,Finished,"Romance, School, Shoujo","Touma, Rei (Story & Art)",Cheese!,"6,656",15,7.381,50282,1468,2007
2329,Akuma na Kare to Ikenie Tenshi,https://myanimelist.net/manga/5251/Akuma_na_Kare_to_Ikenie_Tenshi,1,5,Finished,"Comedy, Romance, Shoujo","Shiiba, Nana (Story & Art)",Betsucomi,"2,112",10,7.381,50292,4693,"Aug  26, 2005"
2330,Dragon Quest Retsuden: Roto no Monshou,https://myanimelist.net/manga/5663/Dragon_Quest_Retsuden__Roto_no_Monshou,21,86,Finished,"Adventure, Fantasy, Shounen","Fujiwara, Kamui (Art), Koyanagi, Junji (Story), Kawamata, Chiaki (Story)",    None,731,10,7.381,50302,10736,Nov 1991 to Jul 1997
2331,Garakuta Tenshi,https://myanimelist.net/manga/5891/Garakuta_Tenshi,1,4,Finished,"Romance, Shoujo","Seto, Yuuna (Story & Art)",Ribon Magazine,522,0,7.381,50312,13067,2001 to ?
2332,Oruchuban Ebichu,https://myanimelist.net/manga/7661/Oruchuban_Ebichu,15,Unknown,Finished,Comedy,"Itou, Risa (Story & Art)",    None,519,9,7.381,50322,13108,Jul 1997 to Jan 2008
2333,Ace wo Nerae,https://myanimelist.net/manga/7948/Ace_wo_Nerae,18,Unknown,Finished,"Drama, Romance, School, Sports","Yamamoto, Sumika (Story & Art)",Margaret,410,6,7.381,50332,14872,1973 to 1980
2334,Fire Emblem: Hasha no Tsurugi,https://myanimelist.net/manga/9144/Fire_Emblem__Hasha_no_Tsurugi,11,45,Finished,"Action, Adventure, Fantasy, Magic, Martial Arts, Shounen","Izawa, Hiroshi (Story), Yamada, Koutarou (Art)",Shounen Jump (Monthly),"1,799",34,7.381,50342,5434,"Nov  6, 2001 to Jul  6, 2005"
2335,Wata no Kuni Hoshi,https://myanimelist.net/manga/9280/Wata_no_Kuni_Hoshi,7,24,Finished,"Fantasy, Romance, Shoujo, Psychological","Ooshima, Yumiko (Story & Art)",LaLa,383,4,7.381,50352,15366,"Mar  24, 1978 to Jan  24, 1984"
2336,Hakuji,https://myanimelist.net/manga/10141/Hakuji,2,8,Finished,"Romance, Shoujo, Psychological","Morie, Satoshi (Story & Art)",The Hana to Yume,"4,999",28,7.381,50362,2033,"May  20, 2008 to Apr  27, 2010"
2337,Rumic World,https://myanimelist.net/manga/10810/Rumic_World,3,19,Finished,"Adventure, Comedy, School, Sci-Fi, Shounen, Space, Supernatural","Takahashi, Rumiko (Story & Art)",Shounen Sunday Super,939,5,7.391,49282,9039,1978 to 1983
2338,Baccano! 1931 The Grand Punk Railroad,https://myanimelist.net/manga/10814/Baccano_1931_The_Grand_Punk_Railroad,2,15,Finished,"Action, Adventure, Historical, Horror, Romance, Shounen","Narita, Ryohgo (Story), Ginyuu, Shijin (Art)",Dengeki Comic Gao!,"1,916",9,7.381,50372,5133,"Dec  27, 2006 to Feb  27, 2008"
2339,Steel Rose,https://myanimelist.net/manga/10818/Steel_Rose,7,36,Finished,"Comedy, Drama, Martial Arts, Romance, Shoujo",Ryan (Story & Art),    None,821,8,7.381,50382,9964,2004 to 2007
2340,Wild Half,https://myanimelist.net/manga/10838/Wild_Half,17,145,Finished,"Fantasy, Shounen, Supernatural","Asami, Yuko (Story & Art)",Shounen Jump (Weekly),195,5,7.381,50392,20604,"Dec  19, 1995 to Nov  24, 1998"
